run_dir,rho_inflation_percentage,w_skip_degradation_factor,coverage_factor,30s_reading_speed,30s_skip_rate,30s_regression_rate,60s_reading_speed,60s_skip_rate,60s_regression_rate,90s_reading_speed,90s_skip_rate,90s_regression_rate,loss_type,loss_total,loss_reading_speed,loss_skip_rate,loss_regression_rate
simulation_data/rho_0.290__w_0.980__cov_1.40,0.29,0.98,1.4,204.0,0.6608925203856164,0.36013633938075124,194.33333333333334,0.6136781628358701,0.5559521272593752,178.74074074074076,0.6317385731044866,0.6631032428829974,sse,821.2134575745197,820.9401069357218,0.2603471551092408,0.013003483688557216
simulation_data/rho_0.290__w_0.900__cov_0.70,0.29,0.9,0.7,202.0,0.5687388728007708,0.4703058937698931,191.33333333333334,0.553000068957105,0.5231445313385379,184.22222222222223,0.554276140550784,0.6561211236189212,sse,821.3520766429692,821.1792492781665,0.1438483094180173,0.02897905538477425
simulation_data/rho_0.290__w_0.840__cov_2.00,0.29,0.84,2.0,202.66666666666666,0.5326424641080459,0.26651371851539896,193.88888888888889,0.4961572378773538,0.5197867776069193,180.59259259259258,0.4919735536517113,0.6388150374703903,sse,822.7222571447668,822.6324211661872,0.08290708936420987,0.006928889215295346
simulation_data/rho_0.290__w_0.820__cov_2.40,0.29,0.82,2.4,206.22222222222223,0.5193718113967202,0.20258188596499083,189.77777777777777,0.47580144162779653,0.4955401354467594,183.1851851851852,0.4654048815552104,0.6371082884758081,sse,823.8897803034137,823.809832752569,0.06374848797469988,0.01619906286987363
simulation_data/rho_0.290__w_0.980__cov_1.30,0.29,0.98,1.3,202.22222222222223,0.6583236343852943,0.3674559486833985,192.44444444444446,0.6159324533111095,0.5524798587053561,182.88888888888886,0.6284899365472643,0.6687031790399184,sse,824.0500173360358,823.7778553426348,0.2582111581591296,0.013950835241917519
simulation_data/rho_0.290__w_0.980__cov_0.20,0.29,0.98,0.2,207.77777777777777,0.6308971618197431,0.6176220686937861,187.22222222222223,0.6143820149711009,0.5440115277679928,184.37037037037038,0.619993633526967,0.6760660144360824,sse,824.9553305176025,824.6168527195628,0.23811840221729472,0.10035939582252451
simulation_data/rho_0.290__w_0.940__cov_1.60,0.29,0.94,1.6,205.77777777777777,0.616654865014484,0.3118009507372756,192.22222222222223,0.5736044207034118,0.5389556488467756,180.66666666666666,0.5793488932887532,0.6568561943508533,sse,826.6462445044078,826.4521929045226,0.18585518206572446,0.00819641781944102
simulation_data/rho_0.290__w_0.880__cov_1.90,0.29,0.88,1.9,203.55555555555554,0.5558128124977945,0.2978498402253822,190.55555555555554,0.5346147248182134,0.5273818308448137,184.51851851851853,0.5234818307323228,0.6544569293961089,sse,834.2481663194941,834.1239251007978,0.11723004141969172,0.00701117727657425
simulation_data/rho_0.290__w_0.840__cov_0.60,0.29,0.84,0.6,205.55555555555554,0.5139103578741582,0.4877084353639789,190.66666666666666,0.49773288308087493,0.4989855501143712,183.1111111111111,0.5056046754325325,0.6455677440374945,sse,836.6978676185724,836.5825556252456,0.08368707703409016,0.03162491629274433
simulation_data/rho_0.290__w_0.960__cov_0.10,0.29,0.96,0.1,200.0,0.6069767123064175,0.6526423704967983,194.11111111111111,0.5976186650383791,0.5508879474278461,182.37037037037035,0.5926678252655408,0.6666768533642815,sse,840.7015598088702,840.3780775129148,0.20158133949194573,0.1219009564635202
