sentence_id,word_id,word,original_word,position,sentence,length,frequency,log_frequency,difficulty,predictability,logit_predictability,skip_probability,regression_probability,total_occurrences,pred_class
2,1,was,was,1,,3,5654.729999999999,3.7524118732208906,0.6588716478890099,0.0,-2.5530000000000004,0.45454545454545453,0.18181818181818182,11,Class 1
2,2,forced,forced,2,,6,26.449999999999992,1.4224256763712047,0.870688574875345,0.0,-2.5530000000000004,0.2727272727272727,0.18181818181818182,11,Class 1
2,3,out,out,3,,3,3865.3099999999995,3.587184330308806,0.6738923336082906,0.0,-2.5530000000000004,0.6363636363636364,0.09090909090909091,11,Class 1
2,4,of,of,4,,2,11577.240000000003,4.063605036452091,0.6305813603225372,0.0,-2.5530000000000004,0.8181818181818182,0.0,11,Class 1
2,5,the,the,5,,3,29449.179999999997,4.4690732065447465,0.5937206175868414,0.0,-2.5530000000000004,0.6363636363636364,0.09090909090909091,11,Class 1
2,6,company,company,6,,7,147.20000000000002,2.16790781000148,0.8029174718180474,0.0,-2.5530000000000004,0.2727272727272727,0.09090909090909091,11,Class 1
2,7,by,by,7,,2,1340.4699999999998,3.1272570988259853,0.7157039001067286,0.0,-2.5530000000000004,0.7272727272727273,0.09090909090909091,11,Class 1
2,8,the,the,8,,3,29449.179999999997,4.4690732065447465,0.5937206175868414,0.0,-2.5530000000000004,0.6363636363636364,0.36363636363636365,11,Class 1
2,9,investors,"investors,",9,,9,3.2400000000000015,0.5105450102066121,0.9535868172539442,0.0,-2.5530000000000004,0.45454545454545453,0.0,11,Class 1
2,10,including,including,10,,9,27.550000000000008,1.4401216031878035,0.869079854255654,0.0,-2.5530000000000004,0.6363636363636364,0.6363636363636364,11,Class 1
2,11,henry,Henry,11,,5,76.54999999999998,1.8839451950342794,0.8287322549968837,0.0,-2.5530000000000004,0.36363636363636365,0.36363636363636365,11,Class 1
2,12,m,M.,12,,1,1.0,0.0,1.0,0.0,-2.5530000000000004,0.5454545454545454,0.09090909090909091,11,Class 1
2,13,leland,Leland,13,,6,1.0,0.0,1.0,0.0,-2.5530000000000004,0.2727272727272727,0.2727272727272727,11,Class 1
2,14,in,in,14,,2,9773.410000000002,3.990046118048168,0.637268534722894,0.0,-2.5530000000000004,0.8181818181818182,0.09090909090909091,11,Class 1
2,15,1902,"1902,",15,,4,1.0,0.0,1.0,0.0,-2.5530000000000004,0.09090909090909091,0.09090909090909091,11,Class 1
2,16,and,and,16,,3,13387.839999999998,4.126710513400981,0.624844498781729,0.0,-2.5530000000000004,0.5454545454545454,0.0,11,Class 1
2,17,the,the,17,,3,29449.179999999997,4.4690732065447465,0.5937206175868414,0.0,-2.5530000000000004,0.5454545454545454,0.36363636363636365,11,Class 1
2,18,company,company,18,,7,147.20000000000002,2.16790781000148,0.8029174718180474,0.0,-2.5530000000000004,0.18181818181818182,0.09090909090909091,11,Class 1
2,19,was,was,19,,3,5654.729999999999,3.7524118732208906,0.6588716478890099,0.0,-2.5530000000000004,0.45454545454545453,0.0,11,Class 1
2,20,reorganized,reorganized,20,,11,0.17999999999999997,-0.7447274948966939,1.067702499536063,0.0,-2.5530000000000004,0.18181818181818182,0.7272727272727273,11,Class 1
2,21,as,as,21,,2,2217.02,3.3457696109541177,0.6958391262768985,0.0,-2.5530000000000004,0.7272727272727273,0.09090909090909091,11,Class 1
2,22,cadillac,Cadillac.,22,,8,5.730000000000001,0.7581546219673899,0.931076852548419,0.0,-2.5530000000000004,0.0,0.0,11,Class 1
3,0,in,In,0,,2,9773.410000000002,3.990046118048168,0.637268534722894,0.0,-2.5530000000000004,0.0,0.0,11,Class 1
3,1,1891,"1891,",1,,4,1.0,0.0,1.0,0.0,-2.5530000000000004,0.09090909090909091,0.5454545454545454,11,Class 1
3,2,ford,Ford,2,,4,11.510000000000003,1.0610753236297918,0.9035386069427461,0.0,-2.5530000000000004,0.45454545454545453,0.36363636363636365,11,Class 1
