section,metric,metric_label,source,source_label,condition,comparison,n,mean,sd,sem,test,df1,df2,statistic,p,effect_size,effect_size_name,value_unit,values_source
descriptive,reading_speed,Reading speed (WPM),text_reader_gamma_0dot6,Sim myopic text reader (γ=0.6),30s,,9,72.22222222222223,45.115900128939515,15.038633376313172,,,,,,,,episode_stimulus,
descriptive,reading_speed,Reading speed (WPM),text_reader_gamma_0dot6,Sim myopic text reader (γ=0.6),60s,,9,33.0,17.428425057933374,5.809475019311125,,,,,,,,episode_stimulus,
descriptive,reading_speed,Reading speed (WPM),text_reader_gamma_0dot6,Sim myopic text reader (γ=0.6),90s,,9,21.703703703703702,11.823287337149095,3.9410957790496983,,,,,,,,episode_stimulus,
inferential,reading_speed,Reading speed (WPM),text_reader_gamma_0dot6,Sim myopic text reader (γ=0.6),,30s_vs_60s_vs_90s,27,,,,one_way_anova,2,24,7.65696328768624,0.0026790315854312353,0.3895293070259134,eta_squared,episode_stimulus,
inferential,reading_speed,Reading speed (WPM),text_reader_gamma_0dot6,Sim myopic text reader (γ=0.6),,30s_vs_60s,18,,,,welch_t_test,,10.335670276842992,2.43287776228484,0.034545253702649985,1.1468695756730427,cohens_d,episode_stimulus,
inferential,reading_speed,Reading speed (WPM),text_reader_gamma_0dot6,Sim myopic text reader (γ=0.6),,30s_vs_90s,18,,,,welch_t_test,,9.093688422098767,3.249516995597623,0.009869879770535455,1.5318370021120105,cohens_d,episode_stimulus,
inferential,reading_speed,Reading speed (WPM),text_reader_gamma_0dot6,Sim myopic text reader (γ=0.6),,60s_vs_90s,18,,,,welch_t_test,,14.076453890469676,1.6091290428214235,0.12977876182072656,0.7585507053221647,cohens_d,episode_stimulus,
descriptive,skip_rate,Skip rate,human,Human,30s,,28,0.3907747888607143,0.0767849288062263,0.014510987575648176,,,,,,,,participant,
descriptive,skip_rate,Skip rate,human,Human,60s,,28,0.3226584662464286,0.08217560230103493,0.015529729108963254,,,,,,,,participant,
descriptive,skip_rate,Skip rate,human,Human,90s,,28,0.31304003764285715,0.0831746708315273,0.01571853531427708,,,,,,,,participant,
inferential,skip_rate,Skip rate,human,Human,,30s_vs_60s_vs_90s,84,,,,one_way_anova,2,81,7.709523066615607,0.0008610901478212338,0.1599170158966858,eta_squared,participant,
inferential,skip_rate,Skip rate,human,Human,,30s_vs_60s,56,,,,welch_t_test,,53.75329711978065,3.2048397658297336,0.0022748046162869603,0.8565294559459781,cohens_d,participant,
inferential,skip_rate,Skip rate,human,Human,,30s_vs_90s,56,,,,welch_t_test,,53.65860237613446,3.6337303518183193,0.0006259032604152595,0.9711552866018349,cohens_d,participant,
